央视频道,#genre#
CCTV1综合,http://8.138.7.223/tv/cqyx2.php?id=cctv1HD
CCTV2财经,http://8.138.7.223/tv/cqyx2.php?id=cctv2HD
CCTV3综艺,http://8.138.7.223/tv/cqyx2.php?id=cctv3HD
CCTV4中文国际,http://8.138.7.223/tv/cqyx2.php?id=cctv4HD
CCTV5体育,http://8.138.7.223/tv/cqyx2.php?id=cctv5HD
CCTV6电影,http://8.138.7.223/tv/cqyx2.php?id=cctv6HD
CCTV7国防军事,http://8.138.7.223/tv/cqyx2.php?id=cctv7HD
CCTV8电视剧,http://8.138.7.223/tv/cqyx2.php?id=cctv8HD
CCTV9纪录,http://8.138.7.223/tv/cqyx2.php?id=cctv9HD
CCTV10科教,http://8.138.7.223/tv/cqyx2.php?id=cctv10HD
CCTV11戏曲,http://8.138.7.223/tv/cqyx2.php?id=cctv11HD
CCTV12社会与法,http://8.138.7.223/tv/cqyx2.php?id=cctv12HD
CCTV13新闻,http://8.138.7.223/tv/cqyx2.php?id=CCTVNewsHD
CCTV14少儿,http://8.138.7.223/tv/cqyx2.php?id=cctvseHD
CCTV15音乐,http://8.138.7.223/tv/cqyx2.php?id=cctv15HD
CCTV16奥林匹克,http://8.138.7.223/tv/cqyx2.php?id=cctv16HD
CCTV17农业农村,http://8.138.7.223/tv/cqyx2.php?id=cctv17HD
CGTN,http://8.138.7.223/tv/cqyx2.php?id=cgtnSD
CETV-1,http://8.138.7.223/tv/cqyx2.php?id=cetv-1SD
CETV-4,http://8.138.7.223/tv/cqyx2.php?id=cetv-4SD
CCTV4K,http://8.138.7.223/tv/cqyx2.php?id=CCTV4K
CCTV16,http://8.138.7.223/tv/cqyx2.php?id=CCTV16_4K

卫视频道,#genre#
重庆卫视,http://8.138.7.223/tv/cqyx2.php?id=chongqingHD
江苏卫视,http://8.138.7.223/tv/cqyx2.php?id=jiangsuHD
北京卫视,http://8.138.7.223/tv/cqyx2.php?id=beijingHD
浙江卫视,http://8.138.7.223/tv/cqyx2.php?id=zhejiangHD
上海卫视,http://8.138.7.223/tv/cqyx2.php?id=shanghaiHD
深圳卫视,http://8.138.7.223/tv/cqyx2.php?id=shenzhenHD
辽宁卫视,http://8.138.7.223/tv/cqyx2.php?id=liaoningHD
天津卫视,http://8.138.7.223/tv/cqyx2.php?id=tianjinHD
贵州卫视,http://8.138.7.223/tv/cqyx2.php?id=guizhouHD
四川卫视,http://8.138.7.223/tv/cqyx2.php?id=sichuanHD
云南卫视,http://8.138.7.223/tv/cqyx2.php?id=yunnanSD
东南卫视,http://8.138.7.223/tv/cqyx2.php?id=dongnanHD
黑龙江卫视,http://8.138.7.223/tv/cqyx2.php?id=heilongjiangHD
安徽卫视,http://8.138.7.223/tv/cqyx2.php?id=anhuiSD
河北卫视,http://8.138.7.223/tv/cqyx2.php?id=hebeiSD
江西卫视,http://8.138.7.223/tv/cqyx2.php?id=jiangxiHD
湖北卫视,http://8.138.7.223/tv/cqyx2.php?id=hubeiSD
海南卫视,http://8.138.7.223/tv/cqyx2.php?id=hainanSD
吉林卫视,http://8.138.7.223/tv/cqyx2.php?id=jilinHD
广西卫视,http://8.138.7.223/tv/cqyx2.php?id=guangxiHD
内蒙古卫视,http://8.138.7.223/tv/cqyx2.php?id=neimengkuSD
湖南卫视,http://8.138.7.223/tv/cqyx2.php?id=hunanHD
广东卫视,http://8.138.7.223/tv/cqyx2.php?id=guangdongHD
河南卫视,http://8.138.7.223/tv/cqyx2.php?id=henanHD
山西卫视,http://8.138.7.223/tv/cqyx2.php?id=shanxiSD
兵团卫视,http://8.138.7.223/tv/cqyx2.php?id=bingtuanSD
宁夏卫视,http://8.138.7.223/tv/cqyx2.php?id=ningxia
北京卡酷少儿,http://8.138.7.223/tv/cqyx2.php?id=bjkakuSD
金鹰卡通,http://8.138.7.223/tv/cqyx2.php?id=jinyingSD
三沙卫视,http://8.138.7.223/tv/cqyx2.php?id=sanshaSD
青海卫视,http://8.138.7.223/tv/cqyx2.php?id=qinghaiSD
山东教育卫视,http://8.138.7.223/tv/cqyx2.php?id=sdjiaoyuSD
新疆卫视,http://8.138.7.223/tv/cqyx2.php?id=xinjiangSD
西藏卫视,http://8.138.7.223/tv/cqyx2.php?id=xizangSD

重庆地方,#genre#
重庆卫视,http://8.138.7.223/tv/cqyx2.php?id=chongqingHD
重庆新闻,http://8.138.7.223/tv/cqyx2.php?id=CQTVNewsHD
重庆影视,http://8.138.7.223/tv/cqyx2.php?id=cqyingshiHD
重庆社会与法,http://8.138.7.223/tv/cqyx2.php?id=CQTVTrendyHD
重庆时尚生活,http://8.138.7.223/tv/cqyx2.php?id=cqssgwHD
