央视频道,#genre#
CCTV-1,rtsp://112.111.36.140/PLTV/88888909/224/3221225703/10000100000000060000000000391319_0.smil
CCTV-2,rtsp://112.111.36.140/PLTV/88888909/224/3221225702/10000100000000060000000000391317_0.smil
CCTV-3,rtsp://112.111.36.140/PLTV/88888909/224/3221225979/10000100000000060000000004051300_0.smil
CCTV-4,rtsp://112.111.36.140/PLTV/88888909/224/3221225972/10000100000000060000000003964012_0.smil
CCTV-5,rtsp://112.111.36.140/PLTV/88888909/224/3221225968/10000100000000060000000004051302_0.smil
CCTV-5+,rtsp://112.111.36.140/PLTV/88888909/224/3221225750/10000100000000060000000000403958_0.smil
CCTV-6,rtsp://112.111.36.140/PLTV/88888909/224/3221225847/10000100000000060000000002691351_0.smil
CCTV-7,rtsp://112.111.36.140/PLTV/88888909/224/3221225701/10000100000000060000000000391316_0.smil
CCTV-8,rtsp://112.111.36.140/PLTV/88888909/224/3221225970/10000100000000060000000004051303_0.smil
CCTV-9,rtsp://112.111.36.140/PLTV/88888909/224/3221225700/10000100000000060000000000391315_0.smil
CCTV-10,rtsp://112.111.36.140/PLTV/88888909/224/3221225699/10000100000000060000000000391290_0.smil
CCTV-11,rtsp://112.111.36.140/PLTV/88888909/224/3221225737/10000100000000060000000000401678_0.smil
CCTV-12,rtsp://112.111.36.140/PLTV/88888909/224/3221225698/10000100000000060000000000391289_0.smil
CCTV-13,rtsp://112.111.36.140/PLTV/88888909/224/3221225745/10000100000000060000000000403953_0.smil
CCTV-14,rtsp://112.111.36.140/PLTV/88888909/224/3221225697/10000100000000060000000000391272_0.smil
CCTV-15,rtsp://112.111.36.140/PLTV/88888909/224/3221225746/10000100000000060000000000403954_0.smil
CCTV-16,rtsp://112.111.36.140/PLTV/88888909/224/3221225977/10000100000000060000000004051299_0.smil
CCTV-17,rtsp://112.111.36.140/PLTV/88888909/224/3221225769/10000100000000060000000001410290_0.smil
CCTV-4K,rtsp://220.249.186.144:554/PLTV/88888909/224/3221225984/10000100000000060000000004568052_0.smil
CGTN,rtsp://112.111.36.140/PLTV/88888909/224/3221225734/10000100000000060000000000401649_0.smil
CGTN-纪录,rtsp://112.111.36.140/PLTV/88888909/224/3221225850/10000100000000060000000002734715_0.smil
CGTN-法语,rtsp://112.111.36.140/PLTV/88888909/224/3221225851/10000100000000060000000002734713_0.smil
CGTN-俄语,rtsp://112.111.36.140/PLTV/88888909/224/3221225852/10000100000000060000000002734711_0.smil

卫视频道,#genre#
湖南卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225695/10000100000000060000000000390504_0.smil
江苏卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225696/10000100000000060000000000390505_0.smil
浙江卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225689/10000100000000060000000000390304_0.smil
北京卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225692/10000100000000060000000000390475_0.smil
广东卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225686/10000100000000060000000000390277_0.smil
广西卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225712/10000100000000060000000000400979_0.smil
山东卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225687/10000100000000060000000000390278_0.smil
东南卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225774/10000100000000060000000001423288_0.smil
东方卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225688/10000100000000060000000000390279_0.smil
深圳卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225981/10000100000000060000000004308954_0.smil
湖北卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225691/10000100000000060000000000390400_0.smil
黑龙江卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225694/10000100000000060000000000390477_0.smil
贵州卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225974/10000100000000060000000003964019_0.smil
安徽卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225685/10000100000000060000000000390210_0.smil
天津卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225690/10000100000000060000000000390378_0.smil
辽宁卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225684/10000100000000060000000000390192_0.smil
河北卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225714/10000100000000060000000000401011_0.smil
河南卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225725/10000100000000060000000000401166_0.smil
海南卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225711/10000100000000060000000000400978_0.smil
吉林卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225717/10000100000000060000000000401066_0.smil
云南卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225752/10000100000000060000000000428648_0.smil
四川卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225715/10000100000000060000000000401042_0.smil
江西卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225716/10000100000000060000000000401043_0.smil
重庆卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225713/10000100000000060000000000401010_0.smil
陕西卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225724/10000100000000060000000000401165_0.smil
青海卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225719/10000100000000060000000000401068_0.smil
宁夏卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225726/10000100000000060000000000401167_0.smil
山西卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225721/10000100000000060000000000401102_0.smil
甘肃卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225718/10000100000000060000000000401067_0.smil
内蒙古卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225720/10000100000000060000000000401101_0.smil
新疆卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225723/10000100000000060000000000401133_0.smil
兵团卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225707/10000100000000060000000000391858_0.smil
西藏卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225722/10000100000000060000000000401132_0.smil
三沙卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225804/10000100000000060000000001515181_0.smil
凤凰中文,http://A/ku9/js/feng.js?id=fhzw
凤凰资讯,http://A/ku9/js/feng.js?id=fhzx
凤凰香港,http://A/ku9/js/feng.js?id=fhhk
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8

福建地方,#genre#
东南卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225774/10000100000000060000000001423288_0.smil
海峡卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225787/10000100000000060000000001426615_0.smil
福建综合,rtsp://112.111.36.140/PLTV/88888909/224/3221225772/10000100000000060000000001418882_0.smil
福建新闻,rtsp://112.111.36.140/PLTV/88888909/224/3221225776/10000100000000060000000001424177_0.smil
福建文体,rtsp://112.111.36.140/PLTV/88888909/224/3221225780/10000100000000060000000001424371_0.smil
福建旅游,rtsp://112.111.36.140/PLTV/88888909/224/3221225778/10000100000000060000000001424299_0.smil
福建经济,rtsp://112.111.36.140/PLTV/88888909/224/3221225779/10000100000000060000000001424334_0.smil
福建少儿,rtsp://112.111.36.140/PLTV/88888909/224/3221225786/10000100000000060000000001426129_0.smil
福建公共,rtsp://112.111.36.140/PLTV/88888909/224/3221225775/10000100000000060000000001423348_0.smil
福建教育,rtsp://112.111.36.140/PLTV/88888909/224/3221225822/10000100000000060000000001619264_0.smil
厦门卫视,rtsp://112.111.36.140/PLTV/88888909/224/3221225706/10000100000000060000000000391859_0.smil
平潭电视,rtsp://220.249.186.134:554/PLTV/88888909/224/3221225973/10000100000000060000000003881064_0.smil
南平一套,rtsp://112.111.36.140/PLTV/88888909/224/3221225843/10000100000000060000000002473546_0.smil
宁德一套,rtsp://112.111.36.140/PLTV/88888909/224/3221225840/10000100000000060000000002442816_0.smil
三明一套,rtsp://112.111.36.140/PLTV/88888909/224/3221225844/10000100000000060000000002473617_0.smil
福州一套,rtsp://112.111.36.140/PLTV/88888909/224/3221225836/10000100000000060000000002365466_0.smil
厦门一套,rtsp://112.111.36.140/PLTV/88888909/224/3221225837/10000100000000060000000002441431_0.smil
泉州一套,rtsp://112.111.36.140/PLTV/88888909/224/3221225838/10000100000000060000000002442472_0.smil
莆田一套,rtsp://112.111.36.140/PLTV/88888909/224/3221225841/10000100000000060000000002473202_0.smil
龙岩一套,rtsp://112.111.36.140/PLTV/88888909/224/3221225842/10000100000000060000000002473437_0.smil
漳州一套,rtsp://112.111.36.140/PLTV/88888909/224/3221225839/10000100000000060000000002442645_0.smil

高清频道,#genre#
